trialNum	trialTime	param_1	param_2	difference	isCorrect	isAscending	side	scalingVal	dotSize	numPoints	dotStyle	dotHue
245	1217.0	0.7159999999999999	0.6	0.11599999999999988	true	false	right	0.9	12.0	100.0	6	1
246	1016.0	0.706	0.6	0.10599999999999998	true	false	left	0.9	12.0	100.0	6	1
247	4370.0	0.696	0.6	0.09599999999999997	true	false	left	0.9	12.0	100.0	6	1
248	968.0	0.6859999999999999	0.6	0.08599999999999997	true	false	right	0.9	12.0	100.0	6	1
249	984.0	0.6759999999999999	0.6	0.07599999999999996	false	false	right	0.9	12.0	100.0	6	1
250	793.0	0.706	0.6	0.10599999999999998	true	false	left	0.9	12.0	100.0	6	1
251	920.0	0.696	0.6	0.09599999999999997	false	false	left	0.9	12.0	100.0	6	1
252	656.0	0.726	0.6	0.126	true	false	left	0.9	12.0	100.0	6	1
253	641.0	0.716	0.6	0.11599999999999999	true	false	left	0.9	12.0	100.0	6	1
254	736.0	0.706	0.6	0.10599999999999998	true	false	left	0.9	12.0	100.0	6	1
255	913.0	0.696	0.6	0.09599999999999997	false	false	right	0.9	12.0	100.0	6	1
256	1209.0	0.726	0.6	0.126	true	false	right	0.9	12.0	100.0	6	1
257	888.0	0.716	0.6	0.11599999999999999	true	false	right	0.9	12.0	100.0	6	1
258	1145.0	0.706	0.6	0.10599999999999998	true	false	left	0.9	12.0	100.0	6	1
259	1201.0	0.696	0.6	0.09599999999999997	true	false	right	0.9	12.0	100.0	6	1
260	888.0	0.6859999999999999	0.6	0.08599999999999997	true	false	left	0.9	12.0	100.0	6	1
261	960.0	0.6759999999999999	0.6	0.07599999999999996	true	false	right	0.9	12.0	100.0	6	1
262	1073.0	0.6659999999999999	0.6	0.06599999999999995	false	false	left	0.9	12.0	100.0	6	1
263	648.0	0.696	0.6	0.09599999999999997	true	false	left	0.9	12.0	100.0	6	1
264	840.0	0.6859999999999999	0.6	0.08599999999999997	true	false	right	0.9	12.0	100.0	6	1
265	1121.0	0.6759999999999999	0.6	0.07599999999999996	true	false	right	0.9	12.0	100.0	6	1
266	1257.0	0.6659999999999999	0.6	0.06599999999999995	true	false	right	0.9	12.0	100.0	6	1
267	1064.0	0.6559999999999999	0.6	0.05599999999999994	true	false	left	0.9	12.0	100.0	6	1
268	936.0	0.6459999999999999	0.6	0.04599999999999993	true	false	right	0.9	12.0	100.0	6	1
269	921.0	0.636	0.6	0.03600000000000003	true	false	right	0.9	12.0	100.0	6	1
270	1032.0	0.626	0.6	0.026000000000000023	true	false	left	0.9	12.0	100.0	6	1
271	1336.0	0.616	0.6	0.016000000000000014	true	false	left	0.9	12.0	100.0	6	1
272	904.0	0.606	0.6	0.006000000000000005	false	false	left	0.9	12.0	100.0	6	1
273	1113.0	0.6359999999999999	0.6	0.03599999999999992	true	false	right	0.9	12.0	100.0	6	1
274	2881.0	0.626	0.6	0.026000000000000023	true	false	right	0.9	12.0	100.0	6	1
275	912.0	0.616	0.6	0.016000000000000014	false	false	left	0.9	12.0	100.0	6	1
276	1137.0	0.6459999999999999	0.6	0.04599999999999993	false	false	right	0.9	12.0	100.0	6	1
277	984.0	0.6759999999999999	0.6	0.07599999999999996	true	false	left	0.9	12.0	100.0	6	1
278	976.0	0.44199999999999995	0.3	0.14199999999999996	true	false	right	0.9	12.0	100.0	6	1
279	961.0	0.43199999999999994	0.3	0.13199999999999995	true	false	left	0.9	12.0	100.0	6	1
280	1321.0	0.422	0.3	0.122	true	false	right	0.9	12.0	100.0	6	1
281	1353.0	0.412	0.3	0.11199999999999999	true	false	left	0.9	12.0	100.0	6	1
282	896.0	0.40199999999999997	0.3	0.10199999999999998	true	false	left	0.9	12.0	100.0	6	1
283	2466.0	0.392	0.3	0.09200000000000003	false	false	left	0.9	12.0	100.0	6	1
284	1041.0	0.422	0.3	0.122	false	false	right	0.9	12.0	100.0	6	1
285	680.0	0.45199999999999996	0.3	0.15199999999999997	false	false	left	0.9	12.0	100.0	6	1
286	696.0	0.482	0.3	0.182	false	false	right	0.9	12.0	100.0	6	1
287	401.0	0.512	0.3	0.21200000000000002	true	false	right	0.9	12.0	100.0	6	1
288	704.0	0.502	0.3	0.202	true	false	right	0.9	12.0	100.0	6	1
289	792.0	0.492	0.3	0.192	true	false	right	0.9	12.0	100.0	6	1
290	2433.0	0.482	0.3	0.182	true	false	right	0.9	12.0	100.0	6	1
